channel_uuid,uuid,direction,created,created_epoch,name,state,cid_name,cid_num,ip_addr,dest,application,application_data,dialplan,context,read_codec,read_rate,read_bit_rate,write_codec,write_rate,write_bit_rate,secure,hostname,presence_id,presence_data,accountcode,callstate,callee_name,callee_num,callee_direction,call_uuid,sent_callee_name,sent_callee_num,initial_cid_name,initial_cid_num,initial_ip_addr,initial_dest,initial_dialplan,initial_context
fdceb09d-7c9a-4dc3-941b-1ca77929ff62,89e5a235-fb1f-48af-bf4f-8a5bb614b77c,inbound,2024-03-19 12:38:24,1710862704,sofia/fs_profile_internal/4856@fs-cwb.tjpr.jus.br:5061,CS_PARK,4856,4856,172.18.52.58,66002996460296,bridge,sofia/gateway/d789758f-25f4-4d1e-a571-a8a65215e1b0/50996460296,XML,ligacoes_saintes,PCMU,8000,64000,PCMU,8000,64000,srtp:sdes:AES_CM_128_HMAC_SHA1_80,fusionpbx,4856@fs-cwb.tjpr.jus.br,,,ACTIVE,,,,89e5a235-fb1f-48af-bf4f-8a5bb614b77c,,,4856,4856,172.18.52.58,4866,XML,fs-cwb.tjpr.jus.br
d7b1732e-d321-4fb1-a8d0-577c1b4af3bc,69bfdcfc-25c9-4498-8b91-9fa0d98cd00f,inbound,2024-03-19 12:45:05,1710863105,sofia/fs_profile_internal/4856@fs-cwb.tjpr.jus.br:5061,CS_PARK,4856,4856,172.18.52.58,66002996460296,bridge,sofia/gateway/d789758f-25f4-4d1e-a571-a8a65215e1b0/50996460296,XML,ligacoes_saintes,PCMU,8000,64000,PCMU,8000,64000,srtp:sdes:AES_CM_128_HMAC_SHA1_80,fusionpbx,4856@fs-cwb.tjpr.jus.br,,,ACTIVE,,,,69bfdcfc-25c9-4498-8b91-9fa0d98cd00f,,,4856,4856,172.18.52.58,4866,XML,fs-cwb.tjpr.jus.br
15135ce4-2f5e-468f-b603-9d49a6692274,cc76ec02-4ced-4892-a274-dda0519f44b9,inbound,2024-03-19 12:51:29,1710863489,sofia/fs_profile_internal/6555@fs-lcr41.tjpr.jus.br:5061,CS_PARK,6558,6558,172.18.59.106,6559,uuid_bridge,3f0f8632-a616-44a2-bd0e-267cffffe1b2,XML,fs-lcr41.tjpr.jus.br,PCMU,8000,64000,PCMU,8000,64000,srtp:sdes:AES_CM_128_HMAC_SHA1_80,fusionpbx,6555@fs-lcr41.tjpr.jus.br,,fs-lcr41.tjpr.jus.br,ACTIVE,6555,6555,SEND,cc76ec02-4ced-4892-a274-dda0519f44b9,6558,6558,6555,6555,172.18.59.106,6559,XML,fs-lcr41.tjpr.jus.br
6deeb60a-ad63-4f5d-bb89-d432296a845f,343825f8-948c-4bde-b456-c48a222201ac,inbound,2024-03-19 13:34:53,1710866093,sofia/fs_profile_internal/3206@fs-int.tjpr.jus.br:5061,CS_EXECUTE,3206,3206,172.26.24.69,66012144332620705,bridge,sofia/gateway/021c68f8-d84b-4f26-97d0-8575e88fbc21/500144332620705,XML,ligacoes_saintes,PCMU,8000,64000,PCMU,8000,64000,srtp:sdes:AES_CM_128_HMAC_SHA1_80,fusionpbx,3206@fs-int.tjpr.jus.br,,fs-int.tjpr.jus.br,EARLY,,,,343825f8-948c-4bde-b456-c48a222201ac,,,3206,3206,172.26.24.69,00144332620705,XML,fs-int.tjpr.jus.br
9171c232-3eab-42cb-86f7-94ca5447a2f2,e117b615-4242-42ad-90a4-0973cf8dc3b4,outbound,2024-03-19 13:34:53,1710866093,sofia/fs_profile_external/500144332620705,CS_EXCHANGE_MEDIA,3206,35723206,172.26.24.69,500144332620705,,,XML,ligacoes_saintes,PCMA,8000,64000,PCMA,8000,64000,srtp:sdes:AES_CM_256_HMAC_SHA1_80,fusionpbx,,,,ACTIVE,00144332620705,500144332620705,,343825f8-948c-4bde-b456-c48a222201ac,,,3206,35723206,172.26.24.69,500144332620705,XML,ligacoes_saintes
a5d240e6-be14-448b-82c0-53ea4de01918,56ad3241-e537-4043-89ce-6ccf74d65cac,inbound,2024-03-19 14:22:53,1710868973,sofia/fs_profile_external/41998133203@mxone-cwb-lim01-prd.tjpr.net,CS_EXCHANGE_MEDIA,7573,7573,192.168.32.211,7003,uuid_bridge,230609ae-a0fc-445b-96ee-7047514332b3,XML,fs-cwb.tjpr.jus.br,PCMA,8000,64000,PCMA,8000,64000,srtp:sdes:AES_256_CM_HMAC_SHA1_80,fusionpbx,,,,ACTIVE,41998133203,41998133203,SEND,230609ae-a0fc-445b-96ee-7047514332b3,7573,7573,41998133203,41998133203,192.168.32.211,11007003,XML,public
6c29534b-f989-49d7-a882-a52a2433edc0,230609ae-a0fc-445b-96ee-7047514332b3,inbound,2024-03-19 14:22:59,1710868979,sofia/fs_profile_internal/7573@fs-cwb.tjpr.jus.br:5061,CS_SOFT_EXECUTE,7573,7573,172.22.240.100,*8#,uuid_bridge,56ad3241-e537-4043-89ce-6ccf74d65cac,XML,fs-cwb.tjpr.jus.br,PCMU,8000,64000,PCMU,8000,64000,srtp:sdes:AES_CM_128_HMAC_SHA1_80,fusionpbx,7573@fs-cwb.tjpr.jus.br,,,ACTIVE,41998133203,41998133203,SEND,230609ae-a0fc-445b-96ee-7047514332b3,41998133203,41998133203,7573,7573,172.22.240.100,*8#,XML,fs-cwb.tjpr.jus.br
3517f58e-c38f-4d28-b034-dab5e126b31f,6bb2cc88-51d1-4e2a-ad7e-2b809a89cab0,inbound,2024-03-19 15:35:21,1710873321,sofia/fs_profile_external/41999270918@mxone-cwb-lim01-prd.tjpr.net,CS_EXCHANGE_MEDIA,4748,4748,192.168.32.211,4702,uuid_bridge,2ff56a42-970d-45e5-b8d1-57128ea4e5c4,XML,fs-cwb.tjpr.jus.br,PCMA,8000,64000,PCMA,8000,64000,srtp:sdes:AES_256_CM_HMAC_SHA1_80,fusionpbx,,,,ACTIVE,41999270918,41999270918,SEND,2ff56a42-970d-45e5-b8d1-57128ea4e5c4,4748,4748,41999270918,41999270918,192.168.32.211,11004702,XML,public
6c0b06a3-4a66-43b2-b107-5568b285620f,2ff56a42-970d-45e5-b8d1-57128ea4e5c4,inbound,2024-03-19 15:36:17,1710873377,sofia/fs_profile_internal/4748@fs-cwb.tjpr.jus.br:5061,CS_SOFT_EXECUTE,4748,4748,172.24.28.53,*8#,uuid_bridge,6bb2cc88-51d1-4e2a-ad7e-2b809a89cab0,XML,fs-cwb.tjpr.jus.br,PCMU,8000,64000,PCMU,8000,64000,srtp:sdes:AES_CM_128_HMAC_SHA1_80,fusionpbx,4748@fs-cwb.tjpr.jus.br,,fs-cwb.tjpr.jus.br,ACTIVE,41999270918,41999270918,SEND,2ff56a42-970d-45e5-b8d1-57128ea4e5c4,41999270918,41999270918,4748,4748,172.24.28.53,*8#,XML,fs-cwb.tjpr.jus.br
213df4ca-673b-4319-870d-cf3f7e3074b8,411dbd98-cbb5-41e2-8c7c-d50c74e62a62,inbound,2024-03-19 16:57:00,1710878220,sofia/fs_profile_external/31988090667@172.23.81.35:5060,CS_EXCHANGE_MEDIA,1796,1796,172.23.81.35,1707,uuid_bridge,f4b164aa-8793-4f88-8995-1b130105393e,XML,fs-cwb.tjpr.jus.br,PCMA,8000,64000,PCMA,8000,64000,srtp:sdes:AES_CM_128_HMAC_SHA1_80,fusionpbx,,,,ACTIVE,31988090667,31988090667,SEND,f4b164aa-8793-4f88-8995-1b130105393e,1796,1796,31988090667,31988090667,172.23.81.35,4132501707,XML,public
